['就叫群名好了', '', '0', '@@35fc5a3cbbcbc24d36fcd83df16f3da722bbdf974cd95a548fae95a4002d9bed', '0', '', '0', '0', '0', '', '', 'jiujiaoqunminghaole', '0', '0', '0', '3', '', 'JJQMHL', '0', '0', '0', '0', '1', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=651490636&username=@@35fc5a3cbbcbc24d36fcd83df16f3da722bbdf974cd95a548fae95a4002d9bed&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['Vault-67', 'Mason', 'lzh', 'Elec in', '', '0', '@@a9b730b5605b887bef9cea5304e48430d10e319de244cade2d05b256eccbc6e3', '0', '', '0', '0', '0', '', '', 'Vault67MasonlzhElecin', '0', '0', '0', '3', '', 'VAULT67MASONLZHELECIN', '0', '0', '0', '0', '1', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=663154404&username=@@a9b730b5605b887bef9cea5304e48430d10e319de244cade2d05b256eccbc6e3&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['糊弄数据结构用的', '', '0', '@@964c21e1ff787ea9347a0d5c82638ecc5c1f3a58880701d5a3b289ecc47029d1', '0', '', '0', '0', '0', '', '', 'hunongshujujiegouyongde', '0', '0', '0', '3', '', 'HNSJJGYD', '0', '0', '0', '0', '1', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=669929175&username=@@964c21e1ff787ea9347a0d5c82638ecc5c1f3a58880701d5a3b289ecc47029d1&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['科151撕逼扯淡群', '', '0', '@@0670294cfc7e5e4ab493436333d42588ba1cddb239438399d56d0d5dd1366d8c', '0', '', '0', '0', '0', '', '', 'ke151sibichedanqun', '0', '0', '0', '3', '', 'K151SBCDQ', '0', '0', '0', '0', '0', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=670036056&username=@@0670294cfc7e5e4ab493436333d42588ba1cddb239438399d56d0d5dd1366d8c&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['拔萃09届2班', '', '0', '@@87b7ac3e70f687c3edf3fe37b07ff781090d018dfe250d1f03f9bbcad8b4be65', '0', '', '0', '0', '0', '', '', 'bacui09jie2ban', '0', '0', '0', '3', '', 'BC09J2B', '0', '0', '0', '0', '0', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=670122171&username=@@87b7ac3e70f687c3edf3fe37b07ff781090d018dfe250d1f03f9bbcad8b4be65&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['糊弄毛概用的', '', '0', '@@e97c384b8f6559af09b04d12612ebf654545de417d691eab5572b37919c1ec52', '0', '', '0', '0', '1', '', '', 'hunongmaogaiyongde', '0', '0', '0', '3', '', 'HNMGYD', '0', '0', '0', '0', '1', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=679740316&username=@@e97c384b8f6559af09b04d12612ebf654545de417d691eab5572b37919c1ec52&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['2012届高一一班', '', '0', '@@cca30aa801a7dcf9aae7b2985462a39715b3d751c597a0a0b52971662f4ccdc6', '0', '', '0', '0', '0', '', '', '2012jiegaoyiyiban', '0', '0', '0', '3', '', '2012JGYYB', '0', '0', '0', '0', '0', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=634953788&username=@@cca30aa801a7dcf9aae7b2985462a39715b3d751c597a0a0b52971662f4ccdc6&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['八级大狂风', '', '0', '@@abcbd660f99ef8666a504e803785dd21ab53de967a7913df0dbe2bb7b9208ead', '0', '', '0', '0', '0', '', '', 'bajidakuangfeng', '0', '0', '0', '3', '', 'BJDKF', '0', '0', '0', '0', '0', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=669790661&username=@@abcbd660f99ef8666a504e803785dd21ab53de967a7913df0dbe2bb7b9208ead&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['电子相关未命名', '', '0', '@@324e23109d284aca02202e8d327f742541d73f8200aab8c12f590bc029383e97', '0', '', '0', '0', '1', '', '', 'dianzixiangguanweimingming', '0', '0', '0', '3', '', 'DZXGWMM', '0', '0', '0', '0', '1', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=670053677&username=@@324e23109d284aca02202e8d327f742541d73f8200aab8c12f590bc029383e97&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['bipt大学生优秀创业团队交流', '', '0', '@@ca1804ff34ad91e75b8f1c9a51c752acde04e2bae4c46d712ff956768b396bd1', '0', '', '0', '0', '0', '', '', 'biptdaxueshengyouxiuchuangyetuanduijiaoliu', '0', '0', '0', '3', '', 'BIPTDXSYXCYTDJL', '0', '0', '0', '0', '0', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=681724186&username=@@ca1804ff34ad91e75b8f1c9a51c752acde04e2bae4c46d712ff956768b396bd1&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
['小陌专业实习', '', '0', '@@520741de7ad7ccea5bbfb6865bf6931c9a266e3fc91785690f6be1274822023d', '0', '', '0', '0', '0', '', '', 'xiaomozhuanyeshixi', '0', '0', '0', '2051', '', 'XMZYSX', '0', '0', '0', '0', '0', '', '0', '[]', '/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=681784223&username=@@520741de7ad7ccea5bbfb6865bf6931c9a266e3fc91785690f6be1274822023d&skey=@crypt_bb0777dc_059f2be170823772980718f9fbbcab9b', '', '', '', '\n']
